# Date : 2018-06-06# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of six replicates of Q294R in O3 date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
20180606,gchure,Q294R,O3,R260,0.0,33170.634171777194,260.0,r2,0.8622038876087214
20180606,gchure,Q294R,O3,R260,0.0,32709.552870916403,260.0,r5,0.8481726965114177
20180606,gchure,delta,O3,R0,0.0,37698.775105381894,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,0.0,38345.363051216824,260.0,r6,1.0196763542834761
20180606,gchure,Q294R,O3,R260,0.0,34541.80081057138,260.0,r1,0.90392993700446
20180606,gchure,auto,O3,R0,0.0,4837.609031648061,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,0.0,37015.458764149414,260.0,r4,0.9792059618426426
20180606,gchure,Q294R,O3,R260,0.0,33098.85880054026,260.0,r3,0.8600196872344595
20180606,gchure,auto,O3,R0,0.1,4697.685589639673,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,0.1,28682.72223392795,260.0,r5,1.0773720546054046
20180606,gchure,Q294R,O3,R260,0.1,26096.490719912483,260.0,r1,0.9612023942766338
20180606,gchure,Q294R,O3,R260,0.1,28846.126501243074,260.0,r4,1.0847119304546462
20180606,gchure,Q294R,O3,R260,0.1,27289.533921349765,260.0,r2,1.014792114577169
20180606,gchure,delta,O3,R0,0.1,26960.223903827682,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,0.1,28059.22555180069,260.0,r3,1.0493655140515854
20180606,gchure,Q294R,O3,R260,0.1,27577.89756768788,260.0,r6,1.0277449792626097
20180606,gchure,Q294R,O3,R260,5.0,31295.017493139218,260.0,r3,1.084637341571165
20180606,gchure,auto,O3,R0,5.0,4557.624516898266,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,5.0,27078.86193411187,260.0,r4,0.913603472964098
20180606,gchure,Q294R,O3,R260,5.0,27488.390370774316,260.0,r1,0.930216530012482
20180606,gchure,delta,O3,R0,5.0,29208.622552343153,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,5.0,28301.630011119352,260.0,r6,0.9632066604394814
20180606,gchure,Q294R,O3,R260,5.0,27794.275217980437,260.0,r5,0.9426251491996768
20180606,gchure,Q294R,O3,R260,5.0,30080.36953007417,260.0,r2,1.0353635571459443
20180606,gchure,delta,O3,R0,10.0,29948.124476534555,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,10.0,29382.77211530306,260.0,r1,0.9778031218485637
20180606,gchure,Q294R,O3,R260,10.0,27677.38086355532,260.0,r6,0.9108460090612158
20180606,gchure,Q294R,O3,R260,10.0,30628.234144634414,260.0,r3,1.0267024823236655
20180606,gchure,Q294R,O3,R260,10.0,29834.641180512837,260.0,r4,0.9955444160726057
20180606,gchure,Q294R,O3,R260,10.0,29908.529308013185,260.0,r5,0.9984454135308821
20180606,gchure,auto,O3,R0,10.0,4478.220223584232,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,10.0,31172.351247321098,260.0,r2,1.0480656212378474
20180606,gchure,delta,O3,R0,25.0,32881.940746295004,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,25.0,28471.26547191397,260.0,r1,0.8446720130821954
20180606,gchure,Q294R,O3,R260,25.0,29636.046195030947,260.0,r6,0.8856913658269551
20180606,gchure,Q294R,O3,R260,25.0,31557.798534059966,260.0,r3,0.9533685135666171
20180606,gchure,Q294R,O3,R260,25.0,30082.018132425994,260.0,r4,0.90139688005054
20180606,gchure,Q294R,O3,R260,25.0,30114.81767563011,260.0,r5,0.9025519610077147
20180606,gchure,auto,O3,R0,25.0,4486.058188987103,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,25.0,30864.32481734932,260.0,r2,0.9289468842930386
20180606,gchure,Q294R,O3,R260,50.0,32145.9695539986,260.0,r3,1.0142054414398698
20180606,gchure,Q294R,O3,R260,50.0,29065.249731137104,260.0,r4,0.9013823720240228
20180606,gchure,Q294R,O3,R260,50.0,29082.084046029835,260.0,r5,0.901998883484629
20180606,gchure,Q294R,O3,R260,50.0,31755.52740521346,260.0,r2,0.9999065489121026
20180606,gchure,auto,O3,R0,50.0,4452.317678764857,0.0,r1,0.0
20180606,gchure,delta,O3,R0,50.0,31758.079158329587,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,50.0,30324.64311420155,260.0,r1,0.9475042640652669
20180606,gchure,Q294R,O3,R260,50.0,28061.03721990708,260.0,r6,0.8646057924006504
20180606,gchure,delta,O3,R0,75.0,32384.201441522182,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,75.0,27788.61808695686,260.0,r6,0.8354197901608242
20180606,gchure,Q294R,O3,R260,75.0,29451.887193444283,260.0,r1,0.8949859338785265
20180606,gchure,Q294R,O3,R260,75.0,29376.618146664852,260.0,r4,0.8922903467119817
20180606,gchure,Q294R,O3,R260,75.0,31729.617841135718,260.0,r3,0.9765575993302645
20180606,gchure,Q294R,O3,R260,75.0,30776.592419460365,260.0,r2,0.9424271937255914
20180606,gchure,auto,O3,R0,75.0,4461.13973771207,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,75.0,28341.884971478143,260.0,r5,0.855233766521654
20180606,gchure,Q294R,O3,R260,100.0,26836.35208271195,260.0,r6,0.8863064964943016
20180606,gchure,Q294R,O3,R260,100.0,30128.352455463883,260.0,r3,1.0166873038777768
20180606,gchure,delta,O3,R0,100.0,29707.012753031355,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,100.0,30511.649222305427,260.0,r2,1.0318679042027095
20180606,gchure,Q294R,O3,R260,100.0,27344.063858119524,260.0,r4,0.9064145960387743
20180606,gchure,Q294R,O3,R260,100.0,29040.93178672064,260.0,r1,0.973619634162508
20180606,gchure,Q294R,O3,R260,100.0,27279.032592797255,260.0,r5,0.9038390104015228
20180606,gchure,auto,O3,R0,100.0,4457.8948896212905,0.0,r1,0.0
20180606,gchure,delta,O3,R0,250.0,29886.168014058334,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,250.0,26994.832689819807,260.0,r2,0.8859551620727818
20180606,gchure,Q294R,O3,R260,250.0,25906.78163857238,260.0,r6,0.8430384499377992
20180606,gchure,Q294R,O3,R260,250.0,31360.19884593641,260.0,r3,1.0581411660944346
20180606,gchure,Q294R,O3,R260,250.0,27409.45077371917,260.0,r5,0.9023092154347696
20180606,gchure,auto,O3,R0,250.0,4533.549019731412,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,250.0,26362.409389208453,260.0,r4,0.8610100745158369
20180606,gchure,Q294R,O3,R260,250.0,26323.285868495495,260.0,r1,0.8594668997960293
20180606,gchure,Q294R,O3,R260,1000.0,29029.62291029489,260.0,r3,0.8819405543778669
20180606,gchure,Q294R,O3,R260,1000.0,25477.24109087764,260.0,r5,0.753117955299516
20180606,gchure,Q294R,O3,R260,1000.0,26895.462373893428,260.0,r6,0.8045479425682545
20180606,gchure,auto,O3,R0,1000.0,4709.4367504643815,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,1000.0,25360.005750652228,260.0,r4,0.7488665651057248
20180606,gchure,delta,O3,R0,1000.0,32285.202530944116,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,1000.0,27241.014324694253,260.0,r2,0.8170789436491178
20180606,gchure,Q294R,O3,R260,1000.0,27659.571656651104,260.0,r1,0.8322573918303515
20180606,gchure,delta,O3,R0,5000.0,26330.183568666886,0.0,r1,1.0
20180606,gchure,Q294R,O3,R260,5000.0,26052.486694840074,260.0,r2,0.9872250357005306
20180606,gchure,Q294R,O3,R260,5000.0,25049.28433301505,260.0,r1,0.941074446459649
20180606,gchure,Q294R,O3,R260,5000.0,26745.64953050958,260.0,r4,1.0191127928703125
20180606,gchure,Q294R,O3,R260,5000.0,25147.264737622925,260.0,r5,0.945581865479763
20180606,gchure,auto,O3,R0,5000.0,4592.598451631002,0.0,r1,0.0
20180606,gchure,Q294R,O3,R260,5000.0,25452.722835175373,260.0,r6,0.9596339368532781
20180606,gchure,Q294R,O3,R260,5000.0,24450.46255339963,260.0,r3,0.9135266863753828
